本来无一物，何处惹尘埃！|惠能|《菩提偈》
蔽日旌旗，连云樯橹，白骨纷如雪。|萨都剌|《念奴娇·登石头城次东坡韵》
言甘中必苦，何用知其真？|柳宗元|《种白蘘荷》
清香随风发，落日好鸟归。|李白|《咏邻女东窗海石榴》
楼倚霜树外，镜天无一毫。|杜牧|《长安秋望》
别来春半，触目柔肠断。|李煜|《清平乐·别来春半》
晓镜但愁云鬓改，夜吟应觉月光寒。|李商隐|《无题·相见时难别亦难》
人品之不高，总为一利字看不破；学业之不进，总为一懒字丢不开。||《围炉夜话·第十六则》
无聊成独卧，弹指韶光过。|纳兰性德|《菩萨蛮·新寒中酒敲窗雨》
红莲相倚浑如醉，白鸟无言定自愁。|辛弃疾|《鹧鸪天·鹅湖归病起作》
杜诗韩笔愁来读，似倩麻姑痒处搔。|杜牧|《读韩杜集》
一任钗横鬓乱，永日熏风。|佚名|《玉蝴蝶·为甚夜来添病》
堪对此景，争忍独醒归去。|柳永|《迎新春·嶰管变青律》
多谢梅花，伴我微吟。|韩疁|《高阳台·除夜》
稷下多谈士，指彼决吾疑。|陶渊明|《拟古九首》
日之方中，在前上处。|佚名|《简兮》
华灯纵博，雕鞍驰射，谁记当年豪举。|陆游|《鹊桥仙·华灯纵博》
秋坐金张馆，繁阴昼不开。|李白|《玉真公主别馆苦雨赠卫尉张卿二首》
春宵一刻值千金，花有清香月有阴。|苏轼|《春宵·春宵一刻值千金》
仓庚喈喈，采蘩祁祁。|佚名|《出车》
